id,publicDate,source,coAuthorship,citationCount,refCount,Class
201900196,01/12/2019,1,10,27,33,"['ENVI', 'AGRI']"
201900101,01/12/2019,1,11,3,11,['MEDI']
201900106,01/12/2019,1,4,,35,['VETE']
201900139,01/12/2019,1,7,6,50,"['CENG', 'MATE']"
201900130,01/12/2019,1,2,7,7,"['PHAR', 'ENVI']"
201900137,01/12/2019,1,5,24,37,['MULT']
201900108,01/12/2019,1,4,,39,['VETE']
201900197,01/12/2019,1,6,7,25,['PHAR']
201900163,01/12/2019,1,3,2,48,['AGRI']
201900164,01/12/2019,1,5,8,47,['MEDI']
201900190,01/12/2019,1,15,3,30,"['MEDI', 'BIOC']"
201900199,01/12/2019,1,3,5,25,"['MATE', 'ENGI', 'BIOC', 'MEDI']"
201900152,01/12/2019,1,2,17,48,['ECON']
201900155,01/12/2019,1,11,48,61,['MULT']
201900215,01/12/2019,1,4,3,32,['MEDI']
201900027,16/12/2019,1,4,0,20,['PHYS']
201900018,19/12/2019,1,6,7,45,['BIOC']
201900020,19/12/2019,1,4,0,15,['BIOC']
201900212,01/12/2019,1,5,13,48,"['PHYS', 'MATE', 'CHEM']"
201900016,19/12/2019,1,3,0,26,['BIOC']
201900224,01/12/2019,1,7,17,30,"['MEDI', 'IMMU']"
201900029,16/12/2019,1,2,0,8,['PHYS']
201900223,01/12/2019,1,3,49,67,"['ENGI', 'SOCI', 'EART']"
201900011,21/12/2019,1,4,8,26,['SOCI']
201900248,01/12/2019,1,2,53,72,['EART']
201900045,15/12/2019,1,3,4,16,"['NEUR', 'MEDI']"
201900277,01/12/2019,1,6,5,41,"['IMMU', 'MEDI']"
201900283,01/12/2019,1,24,51,81,['MULT']
201900089,02/12/2019,1,16,5,15,"['ENVI', 'MEDI']"
201900284,01/12/2019,1,3,1,38,"['SOCI', 'PSYC']"
201900270,01/12/2019,1,3,24,36,['MULT']
201900042,15/12/2019,1,4,31,86,['EART']
201900279,01/12/2019,1,3,1,42,['ECON']
201900080,06/12/2019,1,2,11,66,"['ENER', 'PHYS']"
201900246,01/12/2019,1,3,16,27,['AGRI']
201900074,09/12/2019,1,2,3,10,['COMP']
201900073,09/12/2019,1,2,0,13,['COMP']
201900241,01/12/2019,1,7,28,44,['MULT']
201900087,03/12/2019,1,2335,32,51,['PHYS']
201900010,21/12/2019,1,3,9,49,"['ENVI', 'IMMU', 'MEDI']"
201900222,01/12/2019,1,2,31,29,['AGRI']
201900225,01/12/2019,1,16,2,52,"['MEDI', 'IMMU']"
201900017,19/12/2019,1,1,0,7,['BIOC']
201900028,16/12/2019,1,4,0,6,['PHYS']
201900213,01/12/2019,1,3,11,24,['ENGI']
201900021,19/12/2019,1,1,0,9,['BIOC']
201900026,16/12/2019,1,3,0,5,['PHYS']
